t,mean_deg,locked_frac,S95,peaks,L_flow,P_press,g_flow,top10_flow,g_mem,top10_mem,dim_est
154,8.09375,0.0,365,0,1.1956022043066498e-05,3.275622477552465e-08,0.5676019415899016,0.12293922814438595,0.11904300080291157,0.010518366985904777,1.4911345611687592
155,8.09375,0.0,365,0,9.266759546513439e-06,2.53883823192149e-08,0.5696837606926959,0.12367221808725933,0.11904298625592555,0.010518367249698629,1.4911345611687592
156,8.09375,0.0,365,0,7.1887108288486866e-06,1.9695098161229277e-08,0.5716119861338742,0.12430701189076246,0.11904297498829781,0.010518367455904561,1.4911345611687592
157,8.057291666666666,0.0,365,0,5.585293973540079e-06,1.530217526997282e-08,0.5741940414272436,0.12475119753118319,0.11991245120829978,0.010564600793330456,1.4911345611687592
158,8.057291666666666,0.0,365,0,4.3189397102517565e-06,1.1832711534936319e-08,0.5752830894619774,0.1257933264032368,0.11991244429067573,0.010564600917250113,1.4911345611687592
159,8.057291666666666,0.0,365,0,3.358429984865334e-06,9.201178040726944e-09,0.5755882369877346,0.12616230213098178,0.1199124389108792,0.01056460101327607,1.4911345611687592
160,8.057291666666666,0.0,365,0,0.20000259935086367,0.0005479523269886676,0.9935303249922517,0.999987003414595,0.12095191060276347,0.010628627151344706,1.4674514750139063
161,8.057291666666666,0.0,365,0,0.15441095636620994,0.00042304371607180803,0.9553690287533932,0.20309270528177567,0.12090308593356226,0.01073302239660327,1.4674514750139063
162,8.057291666666666,0.0,365,0,0.12864095276712043,0.00035244096648526143,0.8026344856628101,0.12405825376203206,0.12078711827942219,0.010804648785149371,1.4674514750139063
163,7.989583333333333,0.0,365,0,0.09404847170786904,0.0002576670457749837,0.6583103678005519,0.10542515533955579,0.11665109560680964,0.010868790138102163,1.4674514750139063
164,7.989583333333333,0.0,365,0,0.06801756592133462,0.00018634949567488939,0.6155592443706127,0.10356550067773543,0.11657179856685769,0.010887035211498624,1.4674514750139063
165,7.989583333333333,0.0,365,0,0.05006374987652937,0.00013716095856583388,0.5871921102921093,0.10462486817446984,0.11651683766274983,0.010898612160990901,1.4674514750139063
166,7.989583333333333,0.0,365,0,0.037405355382562025,0.00010248042570564938,0.571365783083814,0.10741189408479676,0.11647814306312332,0.010906683178612613,1.4674514750139063
167,7.989583333333333,0.0,365,0,0.028246739668334273,7.738832785845006e-05,0.5631798554066665,0.10991266067849832,0.11645084021211034,0.010912542835713293,1.4674514750139063
168,7.989583333333333,0.0,365,0,0.02151150397991838,5.893562734224214e-05,0.560149678194213,0.11222073158075255,0.11643106108333544,0.010916928932370416,1.4674514750139063
169,7.927083333333333,0.0,365,0,0.01655975251187226,4.536918496403359e-05,0.5606169941597408,0.11381495859947065,0.11590122299093995,0.010983877549041518,1.4674514750139063
170,7.927083333333333,0.0,365,0,0.012717952061974062,3.4843704279380994e-05,0.559844367716862,0.11608304086580844,0.11588942159588111,0.010986425054135801,1.5496639177683265
171,7.927083333333333,0.0,365,0,0.00985172584205217,2.699102970425252e-05,0.5601820861431283,0.11770290347337678,0.11588075784303356,0.010988417198282797,1.5496639177683265
172,7.927083333333333,0.0,365,0,0.007661349444229608,2.0989998477341394e-05,0.5612763029675389,0.11910256601203283,0.11587430146513189,0.010989983939347355,1.5496639177683265
173,7.927083333333333,0.0,365,0,0.00598205133865695,1.6389181749745067e-05,0.5617419473582183,0.12023255673284375,0.11586944398579226,0.010991223777904504,1.5496639177683265
174,7.927083333333333,0.0,365,0,0.004684497234618079,1.283423899895364e-05,0.5619895464774286,0.12118611759283542,0.11586575819871031,0.010992206578940462,1.5496639177683265
175,7.890625,0.0,365,0,0.0036640619124589423,1.0038525787558746e-05,0.5620513714604197,0.12243254559888608,0.11777717921426806,0.011052803138384412,1.5496639177683265
176,7.890625,0.0,365,0,0.0028745759147636384,7.875550451407228e-06,0.5628141787701448,0.12344740728978386,0.11777510402617247,0.011053427466281397,1.5496639177683265
177,7.890625,0.0,365,0,0.0022676564002275237,6.212757260897325e-06,0.5631751992398651,0.1237843709724275,0.11777349847512647,0.0110539209952374,1.5496639177683265
178,7.890625,0.0,365,0,0.0017944114692193484,4.916195806080406e-06,0.5626451186317902,0.12389133370142595,0.11777225771613765,0.011054310903965067,1.5496639177683265
179,7.890625,0.0,365,0,0.0014226237507024096,3.897599316992903e-06,0.5618085847137745,0.12393575155180805,0.1177712908391375,0.0110546192416671,1.5496639177683265
180,7.890625,0.0,365,0,0.0011295225013464765,3.0945821954697987e-06,0.5608406156383073,0.12391057896528015,0.1177705315492552,0.011054863176838195,1.4380856574716814
181,7.854166666666667,0.0,365,0,0.0009015293033007709,2.4699432967144407e-06,0.5611656821693036,0.12330604017887262,0.11720121870510593,0.011090463326312925,1.4380856574716814
182,7.854166666666667,0.0,365,0,0.000712218420612656,1.951283344144263e-06,0.5601689555602064,0.12406593354083344,0.117200754306407,0.011090614723468978,1.4380856574716814
183,7.854166666666667,0.0,365,0,0.00056595372509902,1.5505581509562191e-06,0.5599594230013089,0.1241292461883793,0.11720039040353347,0.011090735077165197,1.4380856574716814
184,7.854166666666667,0.0,365,0,0.0004509343007905659,1.2354364405220983e-06,0.5592847217828243,0.12391881545350157,0.11720010459808976,0.011090830677308636,1.4380856574716814
185,7.854166666666667,0.0,365,0,0.00035973903577299273,9.855863993780622e-07,0.5589502183543115,0.12358063217771667,0.11719987699345603,0.011090906611527328,1.4380856574716814
186,7.854166666666667,0.0,365,0,0.00028736625219973836,7.873048005472284e-07,0.5584178805329757,0.12310832006665975,0.11719969528323598,0.011090966915399379,1.4380856574716814
187,7.807291666666667,0.0,365,0,0.00024260555557582397,6.646727550022575e-07,0.5806653194264007,0.16086956199084657,0.11545865377357914,0.011126842151183756,1.4380856574716814
188,7.807291666666667,0.0,365,0,0.00019450037611057745,5.328777427687053e-07,0.5784914895898954,0.13202234412985095,0.11545840631595054,0.01112687900787665,1.4380856574716814
189,7.807291666666667,0.0,365,0,0.00015307195615510595,4.1937522234275603e-07,0.5631484460751313,0.11626016367034707,0.11545819697683833,0.011126904192115194,1.4380856574716814
190,7.807291666666667,0.0,365,0,0.00011979683326151284,3.2821050208633655e-07,0.5531413820133295,0.10630967730588556,0.11545802476048005,0.011126921779775104,1.5659113448707767
191,7.807291666666667,0.0,365,0,9.35515722692791e-05,2.5630567745007973e-07,0.5428704420629434,0.09876246400560103,0.1154578837823432,0.011126934168885648,1.5659113448707767
192,7.807291666666667,0.0,365,0,7.295069017294543e-05,1.9986490458341215e-07,0.5333256232088622,0.09314416822270634,0.11545776948436993,0.011126942978819821,1.5659113448707767
193,7.760416666666667,0.0,365,0,5.56164598773789e-05,1.523738626777504e-07,0.5178930358330891,0.07712036267322864,0.11473724260328462,0.011173648473733871,1.5659113448707767
